iter,x1,y1,x2,y2,drag,inf_pr,inf_du
0,1.00000000e+00,3.00000000e-01,3.00000000e+00,3.00000000e-01,6.58975451e-22,0.00000000e+00,2.99132803e+00
1,1.05513075e+00,2.00999995e-01,2.93991905e+00,2.16008392e-01,3.46208309e-22,0.00000000e+00,5.36662802e-01
2,1.10010902e+00,1.42435219e-01,2.88358197e+00,1.47297277e-01,1.84408127e-22,0.00000000e+00,3.22608484e-02
3,1.13245365e+00,1.07788014e-01,2.86067816e+00,1.08872014e-01,1.11303446e-22,0.00000000e+00,8.91280990e-02
4,1.14587892e+00,1.00370875e-01,2.85185083e+00,1.01004802e-01,9.77915249e-23,0.00000000e+00,3.69953583e-02
5,1.16499954e+00,1.00019721e-01,2.84400746e+00,1.00010038e-01,9.66355191e-23,0.00000000e+00,4.19727847e-02
6,1.38525788e+00,1.00000187e-01,2.86238961e+00,1.00000794e-01,9.31694630e-23,0.00000000e+00,1.39768345e-01
7,1.39028861e+00,1.00000177e-01,2.86179104e+00,1.00000747e-01,9.29761100e-23,0.00000000e+00,3.43470102e-02
8,1.39029428e+00,1.00000177e-01,2.86178783e+00,1.00000747e-01,9.29757575e-23,0.00000000e+00,1.09391640e-02
9,1.39030571e+00,1.00000177e-01,2.86178135e+00,1.00000747e-01,9.29753338e-23,0.00000000e+00,1.08265839e-02
10,1.39030859e+00,1.00000177e-01,2.86177972e+00,1.00000747e-01,9.29750840e-23,0.00000000e+00,1.10065238e-02
11,1.39031027e+00,1.00000177e-01,2.86177759e+00,1.00000747e-01,9.29748964e-23,0.00000000e+00,8.89477779e-03
12,1.39038698e+00,1.00000154e-01,2.86142680e+00,1.00000653e-01,9.29586574e-23,0.00000000e+00,8.79796812e-03
13,1.39064164e+00,1.00000134e-01,2.85789041e+00,1.00000571e-01,9.29398620e-23,0.00000000e+00,1.54566212e-02
14,1.39125441e+00,1.00000098e-01,2.85009708e+00,1.00000428e-01,9.29343340e-23,0.00000000e+00,2.01801273e-02
15,1.39168126e+00,1.00000095e-01,2.84822404e+00,1.00000414e-01,9.29041855e-23,0.00000000e+00,1.08800059e-02
16,1.45364306e+00,1.00000009e-01,2.42308122e+00,1.00000030e-01,8.98514249e-23,0.00000000e+00,2.30316224e-01
17,1.61262234e+00,9.99999902e-02,1.77187870e+00,9.99999965e-02,8.73672755e-23,0.00000000e+00,5.75240997e-02
18,1.64660533e+00,9.99999901e-02,1.67120162e+00,9.99999933e-02,8.71982466e-23,0.00000000e+00,2.38961748e-02
19,1.65425176e+00,9.99999900e-02,1.76281483e+00,9.99999900e-02,8.71955473e-23,0.00000000e+00,1.48252320e-02
20,1.68775536e+00,9.99999900e-02,1.75883654e+00,9.99999900e-02,8.70407360e-23,0.00000000e+00,1.66150012e-02
21,1.75678224e+00,9.99999900e-02,1.80400468e+00,9.99999900e-02,8.62724500e-23,0.00000000e+00,2.87562005e-02
22,3.48256786e+00,9.99999900e-02,2.96337267e+00,9.99999900e-02,8.54276729e-23,0.00000000e+00,8.02002682e-01
23,3.28048588e+00,9.99999900e-02,2.68098682e+00,9.99999900e-02,8.09561138e-23,0.00000000e+00,4.86865087e-02
24,2.82852621e+00,9.99999901e-02,2.33018528e+00,9.99999901e-02,8.03033590e-23,0.00000000e+00,5.41087852e-02
25,2.69758949e+00,9.99999900e-02,2.13587645e+00,9.99999900e-02,7.96767203e-23,0.00000000e+00,1.25081139e-02
26,2.70188034e+00,9.99999900e-02,1.49325521e+00,9.99999900e-02,7.80813349e-23,0.00000000e+00,3.64233809e-02
27,2.88223052e+00,9.99999900e-02,1.41303997e+00,9.99999900e-02,7.66642037e-23,0.00000000e+00,1.65200687e-02
28,3.07334811e+00,9.99999900e-02,1.38314327e+00,9.99999900e-02,7.51902199e-23,0.00000000e+00,3.44994538e-02
29,3.45115394e+00,9.99999900e-02,1.21020025e+00,9.99999900e-02,7.28760451e-23,0.00000000e+00,1.04651494e-02
30,3.49951157e+00,9.99999900e-02,1.18766559e+00,9.99999900e-02,7.28513525e-23,0.00000000e+00,9.89022358e-01
31,3.49975336e+00,9.99999900e-02,1.18773524e+00,9.99999900e-02,7.28483913e-23,0.00000000e+00,4.68224057e-02
32,3.49975718e+00,9.99999900e-02,1.18773984e+00,9.99999900e-02,7.28473558e-23,0.00000000e+00,6.29826221e-03
33,3.49975751e+00,9.99999900e-02,1.18774237e+00,9.99999900e-02,7.28470093e-23,0.00000000e+00,5.37482191e-03
34,3.49999873e+00,9.99999900e-02,1.18841766e+00,9.99999900e-02,7.28412043e-23,0.00000000e+00,1.26431960e-02
35,3.50000002e+00,9.99999900e-02,1.19384888e+00,9.99999900e-02,7.28008356e-23,0.00000000e+00,1.23912523e-02
36,3.50000003e+00,9.99999900e-02,1.20770556e+00,9.99999900e-02,7.27713946e-23,0.00000000e+00,2.77964880e-02
37,3.50000003e+00,9.99999900e-02,1.21139435e+00,9.99999900e-02,7.27238615e-23,0.00000000e+00,3.72039523e-03
38,3.50000003e+00,9.99999900e-02,1.21511474e+00,9.99999900e-02,7.26469829e-23,0.00000000e+00,2.45381646e-03
39,3.50000003e+00,9.99999900e-02,1.22232248e+00,9.99999900e-02,7.25988092e-23,0.00000000e+00,3.56782927e-03
40,3.50000003e+00,9.99999900e-02,1.22232248e+00,9.99999900e-02,7.25988092e-23,0.00000000e+00,7.28176728e-04
